iter	Passed	Remaining
0	5	1721
1	10	1522
2	15	1577
3	20	1501
4	25	1518
5	30	1483
6	35	1496
7	40	1495
8	46	1517
9	51	1506
10	58	1526
11	63	1516
12	68	1515
13	73	1497
14	78	1493
15	83	1488
16	90	1499
17	94	1487
18	101	1494
19	105	1482
20	112	1495
21	117	1481
22	122	1478
23	127	1468
24	133	1472
25	138	1461
26	144	1457
27	148	1445
28	154	1440
29	158	1428
30	163	1420
31	168	1411
32	173	1400
33	178	1393
34	182	1382
35	187	1377
36	193	1372
37	198	1370
38	203	1362
39	208	1354
40	213	1347
41	218	1344
42	223	1336
43	230	1338
44	234	1331
45	241	1331
46	245	1322
47	251	1318
48	256	1311
49	261	1307
50	266	1300
51	271	1294
52	276	1287
53	281	1281
54	286	1276
55	291	1270
56	297	1269
57	302	1264
58	307	1257
59	312	1250
60	318	1247
61	323	1239
62	328	1234
63	333	1228
64	338	1225
65	343	1219
66	349	1214
67	353	1207
68	359	1203
69	364	1196
70	369	1192
71	374	1184
72	379	1178
73	383	1172
74	389	1167
75	394	1161
76	398	1155
77	403	1149
78	408	1142
79	414	1138
80	419	1133
81	425	1130
82	429	1123
83	435	1119
84	440	1113
85	445	1108
86	450	1102
87	456	1099
88	461	1093
89	466	1089
90	471	1082
91	476	1077
92	481	1071
93	486	1066
94	491	1059
95	496	1054
96	501	1050
97	506	1043
98	512	1039
99	516	1033
100	522	1030
101	527	1024
102	533	1020
103	538	1015
104	544	1010
105	549	1005
106	555	1001
107	559	995
108	565	990
109	569	983
110	575	979
111	580	973
112	585	968
113	589	962
114	595	957
115	600	951
116	605	946
117	609	940
118	614	934
119	619	929
120	624	923
121	629	918
122	634	913
123	640	908
124	644	902
125	650	898
126	655	892
127	660	888
128	665	882
129	672	878
130	676	873
131	682	868
132	687	862
133	692	858
134	697	852
135	703	848
136	707	842
137	713	837
138	718	832
139	723	826
140	728	821
141	732	815
142	737	810
143	743	805
144	748	800
145	752	794
146	759	790
147	764	785
148	770	780
149	774	774
150	780	769
151	785	764
152	790	759
153	795	753
154	800	748
155	805	743
156	811	738
157	815	733
158	820	727
159	825	722
160	829	716
161	835	711
162	840	706
163	845	701
164	850	695
165	855	690
166	859	684
167	877	689
168	882	683
169	887	678
170	891	672
171	896	667
172	901	661
173	905	655
174	910	650
175	915	645
176	921	640
177	926	634
178	931	629
179	936	624
180	941	618
181	946	613
182	951	608
183	957	603
184	962	598
185	967	592
186	974	588
187	979	583
188	984	578
189	990	573
190	995	568
191	1000	562
192	1005	557
193	1010	551
194	1015	546
195	1020	541
196	1025	536
197	1030	531
198	1036	525
199	1041	520
200	1045	515
201	1051	510
202	1056	504
203	1062	500
204	1067	494
205	1072	489
206	1077	484
207	1084	479
208	1088	474
209	1094	468
210	1098	463
211	1104	458
212	1108	452
213	1114	447
214	1118	442
215	1124	437
216	1128	431
217	1133	426
218	1138	421
219	1143	415
220	1148	410
221	1153	405
222	1159	400
223	1164	395
224	1169	389
225	1174	384
226	1179	379
227	1185	374
228	1191	369
229	1195	363
230	1206	360
231	1222	358
232	1234	354
233	1244	351
234	1251	346
235	1256	340
236	1266	336
237	1271	331
238	1277	326
239	1282	320
240	1287	315
241	1292	309
242	1297	304
243	1302	298
244	1308	293
245	1313	288
246	1318	282
247	1323	277
248	1328	272
249	1332	266
250	1337	261
251	1342	255
252	1347	250
253	1352	245
254	1357	239
255	1362	234
256	1367	228
257	1373	223
258	1377	218
259	1383	212
260	1388	207
261	1395	202
262	1400	197
263	1406	191
264	1411	186
265	1416	181
266	1421	175
267	1427	170
268	1432	165
269	1437	159
270	1442	154
271	1448	149
272	1453	143
273	1458	138
274	1463	133
275	1468	127
276	1472	122
277	1477	116
278	1482	111
279	1487	106
280	1493	100
281	1497	95
282	1503	90
283	1508	84
284	1513	79
285	1519	74
286	1525	69
287	1529	63
288	1536	58
289	1541	53
290	1546	47
291	1551	42
292	1556	37
293	1561	31
294	1566	26
295	1571	21
296	1576	15
297	1581	10
298	1586	5
299	1591	0
