window_start_ms,window_end_ms,label,capture_role,plc_ip,session_id,host_id,scenario_id,episode_id,opcua_packet_count,opcua_byte_count,opcua_frame_len_mean,opcua_frame_len_std,opcua_unique_src_ip_count,opcua_unique_dst_ip_count,opcua_unique_tcp_stream_count,opcua_hel_count,opcua_opn_count,opcua_msg_count,opcua_clo_count,opcua_err_count,opcua_status_good_count,opcua_status_uncertain_count,opcua_status_bad_count,opcua_get_endpoints_count,opcua_open_secure_channel_count,opcua_close_secure_channel_count,opcua_create_session_count,opcua_activate_session_count,opcua_close_session_count,opcua_browse_count,opcua_read_count,opcua_write_count,opcua_create_subscription_count,opcua_create_monitored_items_count,opcua_max_create_session_by_single_src,opcua_max_browse_by_single_src
1786292540000,1786292545000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,216,28876,133.685,34.95,2,2,1,0,0,94,0,0,47,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
1786292545000,1786292550000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28224,133.132,33.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292550000,1786292555000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,248,33562,135.331,34.007,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292555000,1786292560000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,208,27956,134.404,37.585,2,2,1,0,0,90,0,0,45,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
1786292560000,1786292565000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33490,133.96,32.562,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292565000,1786292570000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33538,134.152,32.962,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292570000,1786292575000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,210,28392,135.2,36.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292575000,1786292580000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33634,134.536,34.153,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292580000,1786292585000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28272,133.358,34.178,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292585000,1786292590000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33754,133.944,34.656,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292590000,1786292595000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,248,33658,135.718,35.158,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292595000,1786292600000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,216,28464,131.778,34.834,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292600000,1786292605000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33850,134.325,35.784,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292605000,1786292610000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,210,28392,135.2,36.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292610000,1786292615000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33778,135.112,35.663,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292615000,1786292620000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28224,133.132,33.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292620000,1786292625000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33802,134.135,35.029,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292625000,1786292630000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,232,31090,134.009,35.126,2,2,1,0,0,101,0,0,50,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
1786292630000,1786292635000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,230,30912,134.4,34.464,2,2,1,0,0,101,0,0,51,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
